Wavelength,Melanopic lux,Wavelength,CIE Scotopic 1951,Wavelength,CIE Photopic 1924,Wavelength,Photosynthesis,Wavelength,Cleve Moth Attraction,Wavelength,Bee Attraction,Wavelength,Green Turtle 92,Wavelength,Juvenile Salmon,Wavelength,Chelonia,Wavelength,Shearwater,Wavelength,Starry Light,Wavelength,Skyglow Rayleigh City Center,Wavelength,Skyglow Mie Remote,Wavelength,Loggerhead Hatchling Attraction,Wavelength,van Grunsven Insect Phototaxis
,,454,0.502,434,0.01571509,474,0.9,324,0.201670281,324,0,454,1,424,0.964742129,424,0.778800655,424,0.450582955,720,0.00271746,720,0.000737878,720,0.001024497,424,0.785021953,354,0.857578222
,,455,0.513,435,0.01684,475,0.9,325,0.214817056,325,0,455,0.999848539,425,0.971677966,425,0.774461436,425,0.451518735,725,0.00211261,725,0.000559527,725,0.000781721,425,0.787443218,355,0.865775476
,,456,0.524,436,0.01800736,476,0.9,326,0.218817488,326,0,456,0.999547254,426,0.977963683,426,0.77064224,426,0.452707607,730,0.001642001,730,0.000424257,730,0.000596413,426,0.789858203,356,0.873929346
,,457,0.535,437,0.01921448,477,0.89,327,0.222838539,327,0,457,0.999099799,427,0.983555069,427,0.767300669,427,0.454159605,735,0.001250907,735,0.000315362,735,0.000446061,427,0.79226663,357,0.882021821
,,458,0.546,438,0.02045392,478,0.89,328,0.226879946,328,0,458,0.998509868,428,0.988407542,428,0.764395456,428,0.455884843,740,0.000955557,740,0.000235094,740,0.000334562,428,0.794668217,358,0.890033832
,,459,0.557,439,0.02171824,479,0.88,329,0.230941973,329,0,459,0.997781196,429,0.992476152,429,0.761895825,429,0.457893508,745,0.000653974,745,0.000157042,745,0.000224845,429,0.797062683,359,0.897945313
,,460,0.567,440,0.023,480,0.88,330,0.235024355,330,0,460,0.996917557,430,0.995715579,430,0.759775334,430,0.460195869,750,0.000446014,750,0.000104555,750,0.000150601,430,0.799449744,360,0.905735262
,,461,0.578,441,0.02429461,481,0.87,331,0.240741915,331,0,461,0.995922767,431,0.998080131,431,0.75800728,431,0.462802269,755,0.000287816,755,6.58755E-05,755,9.54561E-05,431,0.801829112,361,0.91338182
,,462,0.588,442,0.02561024,482,0.87,332,0.246489718,332,0,462,0.994800679,432,0.999523748,432,0.756564693,432,0.465723129,760,0.000182056,760,4.06906E-05,760,5.93135E-05,432,0.804200501,362,0.920862357
,,463,0.599,443,0.02695857,483,0.86,333,0.252267765,333,0,463,0.993555187,433,1,433,0.755420322,433,0.468968947,765,0.000166971,765,3.64484E-05,765,5.34442E-05,433,0.806563619,363,0.928153571
,,464,0.61,444,0.02835125,484,0.85,334,0.258076057,334,0,464,0.992190228,434,0.999462088,434,0.754546648,434,0.4725503,770,0.000148764,770,3.17211E-05,770,4.67861E-05,434,0.808918174,364,0.935231592
,,465,0.62,445,0.0298,485,0.85,335,0.263914592,335,0,465,0.990709775,435,0.997862841,435,0.753915876,435,0.476476259,775,0.000109871,775,2.28884E-05,775,3.39558E-05,435,0.811263872,365,0.942072105
,,466,0.631,446,0.03131083,486,0.84,336,0.276503425,336,0,466,0.989117842,436,0.99515472,436,0.753499937,436,0.480741741,780,8.13043E-05,780,1.65497E-05,780,2.46947E-05,436,0.813600418,366,0.948650474
,,467,0.642,447,0.03288368,487,0.83,337,0.289162368,337,0,467,0.987418486,437,0.991289816,437,0.753270491,437,0.485334069,785,0,785,0,785,0,437,0.815927511,367,0.954941883
,,468,0.653,448,0.03452112,488,0.82,338,0.30189169,338,0,468,0.985615798,438,0.986219849,438,0.75319892,438,0.49024036,790,0,790,0,790,0,438,0.818244853,368,0.960921487
,,469,0.664,449,0.03622571,489,0.82,339,0.314691256,339,0,469,0.983713917,439,0.97989617,439,0.753256337,439,0.495447594,795,0,795,0,795,0,439,0.820552141,369,0.966564564
,,470,0.676,450,0.038,490,0.81,340,0.327560929,340,0,470,0.981717014,440,0.972310086,440,0.753413578,440,0.500942616,800,0,800,0,800,0,440,0.822849069,370,0.971846683
,,471,0.687,451,0.03984667,491,0.8,341,0.333847234,341,0,471,0.979629306,441,0.963606706,441,0.753641206,441,0.506712131,805,0,805,0,805,0,441,0.825135333,371,0.976743876
,,472,0.699,452,0.041768,492,0.79,342,0.340164895,342,0,472,0.977455045,442,0.953969201,442,0.753911694,442,0.51274271,810,0,810,0,810,0,442,0.827410623,372,0.981232812
,,473,0.71,453,0.043766,493,0.78,343,0.346513638,343,0,473,0.975198529,443,0.943582459,443,0.754220805,443,0.519020782,815,0,815,0,815,0,443,0.829674629,373,0.985290977
,,474,0.722,454,0.04584267,494,0.77,344,0.352893601,344,0,474,0.972864091,444,0.932633096,444,0.754578624,444,0.525532644,820,0,820,0,820,0,444,0.831927039,374,0.98889686
,,475,0.734,455,0.048,495,0.76,345,0.359304783,345,0,475,0.970456106,445,0.921309453,445,0.754995529,445,0.532264453,825,0,825,0,825,0,445,0.834167538,375,0.992030127
,,476,0.745,456,0.05024368,496,0.75,346,0.37148589,346,0,476,0.96797899,446,0.90980159,446,0.755481989,446,0.539202227,830,0,830,0,830,0,446,0.83639581,376,0.994671801
,,477,0.757,457,0.05257304,497,0.74,347,0.383731248,347,0,477,0.965437195,447,0.898301293,447,0.756048564,447,0.546331852,835,0,835,0,835,0,447,0.838611536,377,0.996804439
,,478,0.769,458,0.05498056,498,0.72,348,0.396040997,348,0,478,0.962835218,448,0.887002072,448,0.756705899,448,0.553639073,840,0,840,0,840,0,448,0.840814395,378,0.99841229
